ticker,pdufa_date,outcome,confidence
REGN,2026-02-24,Approved,price-only
SNY,2026-02-24,Approved,price-only
VNDA,2026-02-21,Approved,price-only
AZN,2026-02-20,Approved,price-only
ABBV,2026-02-20,Approved,price-only
MRK,2026-02-20,Approved,price-only
JNJ,2026-02-17,Approved,price-only
INVA,2026-02-17,Approved,price-only
IRON,2026-02-15,CRL,price-only
RGNX,2026-02-08,CRL,price-only
AQST,2026-02-02,CRL,price-only
PHAR,2026-02-01,CRL,source-verified
GKOS,2026-01-28,Approved,price-only
JNJ,2026-01-27,Approved,price-only
GLSI,2026-01-22,Approved,price-only
IBRX,2026-01-16,CRL,source-verified
EBS,2026-01-14,Approved,price-only
FBIO,2026-01-13,Approved,price-only
ATRA,2026-01-12,CRL,price-only
OTLK,2025-12-31,CRL,price-only
CORT,2025-12-31,CRL,price-only
VNDA,2025-12-30,Approved,price-only
SNY,2025-12-28,CRL,price-only
OMER,2025-12-24,Approved,price-only
AGIO,2025-12-23,Approved,price-only
NVO,2025-12-22,Approved,price-only
AMRX,2025-12-22,Approved,price-only
RHHBY,2025-12-22,Approved,price-only
CRSP,2025-12-22,CRL,price-only
CYTK,2025-12-19,Approved,price-only
PBM,2025-12-19,Approved,price-only
COCP,2025-12-18,Approved,price-only
JNJ,2025-12-18,Approved,price-only
PFE,2025-12-17,CRL,price-only
MRK,2025-12-17,CRL,price-only
ALPMY,2025-12-17,CRL,price-only
GILD,2025-12-16,Approved,price-only
DSNKY,2025-12-15,Approved,price-only
MIST,2025-12-15,Approved,price-only
JNJ,2025-12-15,Approved,price-only
AZN,2025-12-15,Approved,price-only
INVA,2025-12-15,Approved,price-only
AMPH,2025-12-15,Approved,price-only
ACAD,2025-12-12,Approved,price-only
BCRX,2025-12-12,Approved,price-only
AMGN,2025-12-11,Approved,price-only
GSK,2025-12-11,Approved,price-only
AAPG,2025-12-09,CRL,price-only
LYEL,2025-12-08,CRL,price-only
ONC,2025-12-08,CRL,price-only
AUTL,2025-12-08,CRL,price-only
ALXO,2025-12-08,CRL,price-only
NRIX,2025-12-08,CRL,price-only
CLLS,2025-12-07,CRL,price-only
IMMX,2025-12-07,CRL,price-only
CASI,2025-12-07,CRL,price-only
GLPG,2025-12-07,CRL,price-only
PRTC,2025-12-05,CRL,price-only
AXGN,2025-12-04,Approved,price-only
BMY,2025-12-04,Approved,price-only
PLRX,2025-12-04,CRL,price-only
LLY,2025-12-03,Approved,price-only
AMRN,2025-12-02,Approved,price-only
AMRX,2025-12-01,Approved,price-only
JANX,2025-12-01,Approved,price-only
AZN,2025-11-25,Approved,price-only
SRPT,2025-11-25,Approved,price-only
RHHBY,2025-11-25,Approved,price-only
NVS,2025-11-24,Approved,price-only
MRK,2025-11-21,Approved,price-only
ALPMY,2025-11-21,Approved,price-only
