ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,rs_21,rs_63,rs_126,mom_126,beta_xbi,atr14,dnvol_60,review_priority,prior_fda_approvals,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
AMRX,2026-06-04,Approved,other,P,2026,2026-05-05,2026-05-28,13.41,-0.034303,-0.050747,0,0.047088,-0.107048,0.048416,0.239372,0.5281,0.0392,0.01611,,100,20638014.0,0.074519,0.021948,1,0.0481,17.38,4.416,0.0332,OOS
CING,2026-06-02,CRL,other,P,2026,2026-05-01,2026-05-26,5.37,-0.10987,-0.132336,0,-0.121036,-0.109911,0.32916,0.508427,0.9185,0.0931,0.05217,,0,2520213.0,-0.125407,0.048395,1,0.045451,16.99,4.378,0.0323,OOS
BMY,2026-06-01,Approved,other,P,2026,2026-05-01,2026-05-22,57.5701,0.021299,0.011791,1,-0.061683,0.023038,0.217809,0.397076,0.4341,0.02527,0.01091,STANDARD,21,579825615.0,-0.023154,0.019662,1,0.045451,16.99,4.378,0.0323,OOS
JNJ,2026-05-29,Approved,other,P,2026,2026-04-29,2026-05-22,226.05,0.030746,0.009334,1,-0.147635,-0.019821,0.049726,0.208669,0.1738,0.0214,0.00732,,0,1781680684.0,-0.062436,0.010238,1,0.023503,18.81,4.418,0.0393,OOS
MNKD,2026-05-29,Approved,other,P,2026,2026-04-29,2026-05-22,2.75,0.229091,0.207679,1,0.075138,-0.535915,-0.651563,-0.49262,0.7209,0.04727,0.05479,STANDARD,1,9630196.0,0.160338,0.028936,1,0.023503,18.81,4.418,0.0393,OOS
AZN,2026-05-28,Approved,other,P,2026,2026-04-28,2026-05-21,186.68,0.016445,0.004094,1,-0.105982,-0.033924,-0.081732,0.132346,0.3098,0.01988,0.01056,STANDARD,59,383283699.0,-0.009235,0.014666,1,0.020462,17.83,4.354,0.031,OOS
IRWD,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,4.04,-0.029703,-0.019706,0,0.20877,-0.26059,1.237545,1.478528,1.135,0.06188,0.03984,,0,7017964.0,0.320261,0.056803,1,0.040513,18.02,4.336,0.0292,OOS
ABBV,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,197.38,0.07559,0.085587,1,-0.131094,-0.139043,-0.36204,-0.121057,0.3801,0.02567,0.01243,PRIORITY,96,1371771099.0,-0.049582,0.014842,1,0.040513,18.02,4.336,0.0292,OOS
PGEN,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,3.96,0.078283,0.08828,1,-0.055774,-0.206829,-0.309218,-0.068235,1.4962,0.05934,0.03349,,0,16734562.0,0.079019,0.05648,1,0.040513,18.02,4.336,0.0292,OOS
GILD,2026-05-26,Approved,other,P,2026,2026-04-24,2026-05-19,129.5486,0.000767,0.049461,1,-0.132382,-0.076159,-0.159169,0.086833,0.3003,0.02427,0.0111,,6,724671467.0,-0.028678,0.012853,1,0.040925,18.71,4.31,0.0167,OOS
AZN,2026-05-22,Approved,other,P,2026,2026-04-22,2026-05-15,194.81,-0.067912,-0.0197,0,-0.069919,0.015811,-0.076981,0.173488,0.3012,0.0203,0.01069,STANDARD,59,370856408.0,0.058347,0.015644,1,0.071228,18.92,4.294,0.0096,OOS
AZN,2026-05-18,Approved,other,P,2026,2026-04-17,2026-05-11,204.8,-0.112012,-0.083743,0,-0.058059,-0.014323,-0.064126,0.219705,0.2882,0.02055,0.00986,STANDARD,59,375843409.0,0.083999,0.015391,1,0.115159,17.48,4.246,0.0207,OOS
SPRY,2026-05-15,Approved,other,P,2026,2026-04-15,2026-05-08,8.02,0.089775,0.102527,1,-0.179363,-0.392629,-0.566719,-0.26624,1.1878,0.05859,0.02444,,0,12854247.0,-0.078161,0.035246,1,0.101736,18.17,4.282,0.0266,OOS
