ticker,pdufa_date,review_priority,prior_fda_approvals
AMGN,2025-11-19,,9
TARA,2025-11-19,,0
REGN,2025-11-19,,0
ARWR,2025-11-18,STANDARD,0
KZIA,2025-11-18,,0
GMAB,2025-11-18,,0
ABBV,2025-11-18,N/A,96
OGN,2025-11-17,,27
KURA,2025-11-13,PRIORITY,0
AMRX,2025-11-13,STANDARD,97
ENGN,2025-11-11,,0
CYTK,2025-11-07,,0
RPRX,2025-11-07,,0
JNJ,2025-11-07,,0
BCAB,2025-11-07,,0
JNJ,2025-11-06,,0
CLDX,2025-11-06,,0
IBRX,2025-11-05,,0
BHVN,2025-11-04,,0
ESLA,2025-11-03,,0
AGIO,2025-11-03,,0
ALVO,2025-11-02,,0
AMRX,2025-10-29,STANDARD,96
ONCY,2025-10-28,,0
LLY,2025-10-27,,68
MRK,2025-10-27,,58
SNDX,2025-10-24,PRIORITY,1
BAYRY,2025-10-24,,6
GSK,2025-10-23,,0
GKOS,2025-10-20,STANDARD,5
RHHBY,2025-10-20,STANDARD,19
SNSE,2025-10-17,,
AZN,2025-10-17,,59
AMGN,2025-10-17,STANDARD,9
REGN,2025-10-17,,0
NVO,2025-10-15,STANDARD,9
CGEM,2025-10-13,,0
ABBV,2025-10-13,STANDARD,96
TEVA,2025-10-10,,84
REGN,2025-10-08,,0
ARQT,2025-10-06,STANDARD,2
RHHBY,2025-10-02,STANDARD,19
JAZZ,2025-10-02,PRIORITY,4
FBIO,2025-10-01,,0
NVS,2025-09-30,PRIORITY,87
JNJ,2025-09-29,,0
LLY,2025-09-25,,68
CRNX,2025-09-25,STANDARD,0
BIIB,2025-09-23,,6
AMRX,2025-09-23,STANDARD,94
SRRK,2025-09-23,,0
IONS,2025-09-23,,0
INCY,2025-09-19,,0
MRK,2025-09-19,,58
JNJ,2025-09-19,,0
KRYS,2025-09-15,,0
GMAB,2025-09-12,,0
AMRX,2025-09-11,STANDARD,94
JNJ,2025-09-09,,0
TAK,2025-09-05,,1
AMRX,2025-09-04,STANDARD,94
SNY,2025-08-29,,5
BIIB,2025-08-29,,6
OTLK,2025-08-28,,0
TEVA,2025-08-28,,84
LGND,2025-08-27,,0
BNTX,2025-08-27,,0
MRNA,2025-08-27,,0
TVTX,2025-08-27,STANDARD,1
NVAX,2025-08-27,,0
PRTA,2025-08-27,,0
PFE,2025-08-27,STANDARD,92
