ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
LGND,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,221.41,0.037803,0.045895,1,-0.073258,53340569.0,0.076687,0.037643,1,0.073301,17.19,4.364,0.0376,OOS
ZVRA,2026-06-08,Approved,other,P,2026,2026-05-08,2026-06-01,11.13,0.032345,0.040437,1,-0.100629,11279096.0,0.146241,0.029545,1,0.073301,17.19,4.364,0.0376,OOS
AMRX,2026-06-04,Approved,other,P,2026,2026-05-05,2026-05-28,13.41,-0.034303,-0.050747,0,-0.123042,20638014.0,0.074519,0.021948,1,0.0481,17.38,4.416,0.0332,OOS
CING,2026-06-02,CRL,other,P,2026,2026-05-01,2026-05-26,5.37,-0.10987,-0.132336,0,-0.199255,2520213.0,-0.125407,0.048395,1,0.045451,16.99,4.378,0.0323,OOS
BMY,2026-06-01,Approved,other,P,2026,2026-05-01,2026-05-22,57.5701,0.021299,0.011791,1,-0.037522,579825615.0,-0.023154,0.019662,1,0.045451,16.99,4.378,0.0323,OOS
JNJ,2026-05-29,Approved,other,P,2026,2026-04-29,2026-05-22,226.05,0.030746,0.009334,1,-0.025127,1781680684.0,-0.062436,0.010238,1,0.023503,18.81,4.418,0.0393,OOS
MNKD,2026-05-29,Approved,other,P,2026,2026-04-29,2026-05-22,2.75,0.229091,0.207679,1,-0.025455,9630196.0,0.160338,0.028936,1,0.023503,18.81,4.418,0.0393,OOS
AZN,2026-05-28,Approved,other,P,2026,2026-04-28,2026-05-21,186.68,0.016445,0.004094,1,-0.035783,383283699.0,-0.009235,0.014666,1,0.020462,17.83,4.354,0.031,OOS
IRWD,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,4.04,-0.029703,-0.019706,0,-0.153465,7017964.0,0.320261,0.056803,1,0.040513,18.02,4.336,0.0292,OOS
ABBV,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,197.38,0.07559,0.085587,1,-0.03359,1371771099.0,-0.049582,0.014842,1,0.040513,18.02,4.336,0.0292,OOS
PGEN,2026-05-27,Approved,other,P,2026,2026-04-27,2026-05-20,3.96,0.078283,0.08828,1,-0.010101,16734562.0,0.079019,0.05648,1,0.040513,18.02,4.336,0.0292,OOS
GILD,2026-05-26,Approved,other,P,2026,2026-04-24,2026-05-19,129.5486,0.000767,0.049461,1,-0.014733,724671467.0,-0.028678,0.012853,1,0.040925,18.71,4.31,0.0167,OOS
AZN,2026-05-22,Approved,other,P,2026,2026-04-22,2026-05-15,194.81,-0.067912,-0.0197,0,-0.076023,370856408.0,0.058347,0.015644,1,0.071228,18.92,4.294,0.0096,OOS
AZN,2026-05-18,Approved,other,P,2026,2026-04-17,2026-05-11,204.8,-0.112012,-0.083743,0,-0.121094,375843409.0,0.083999,0.015391,1,0.115159,17.48,4.246,0.0207,OOS
SPRY,2026-05-15,Approved,other,P,2026,2026-04-15,2026-05-08,8.02,0.089775,0.102527,1,-0.046135,12854247.0,-0.078161,0.035246,1,0.101736,18.17,4.282,0.0266,OOS
AZN,2026-05-15,Approved,other,P,2026,2026-04-15,2026-05-08,201.21,-0.091248,-0.078496,0,-0.105412,373904691.0,0.047914,0.015016,1,0.101736,18.17,4.282,0.0266,OOS
ONC,2026-05-13,Approved,other,P,2026,2026-04-13,2026-05-06,305.64,0.025128,-0.017508,0,-0.052693,61161749.0,0.076008,0.020509,1,0.060643,19.12,4.297,0.0302,OOS
