This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1
divided by t-2 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196801,   -0.66,   -3.25,   -7.12,   -1.11,    0.24,   -3.98,   -5.05,   -8.17,    3.32,   -2.45,   -0.09,    0.56,   -3.97,   -3.99,   -5.34,   -4.59,   -7.08,   -9.75
196802,   -2.07,   -2.99,   -4.32,   -2.05,   -2.41,   -3.06,   -3.75,   -4.15,   -3.79,   -1.51,   -2.08,   -2.72,   -2.71,   -3.32,   -3.12,   -4.72,   -3.41,   -5.26
196803,   -1.14,    0.72,    2.00,   -1.01,   -0.54,    0.66,    0.31,    3.36,   -0.99,   -1.01,   -1.30,    0.20,    0.50,    0.78,    1.26,   -1.19,    4.06,    2.28
196804,    7.45,    8.22,   11.70,    8.95,    5.18,    7.95,   11.26,   12.13,   11.09,    8.29,    5.60,    4.78,    8.27,    7.70,   11.64,   10.66,   11.20,   13.57
196805,    1.44,    1.28,    4.36,    2.22,    0.28,    0.44,    3.49,    4.66,    4.40,    1.53,    0.45,    0.12,    2.13,   -0.83,    3.41,    3.61,    4.53,    4.87
196806,    2.17,    1.51,   -0.47,    1.72,    3.12,    1.72,   -0.12,   -0.74,    1.03,    1.95,    2.75,    3.47,    1.04,    2.26,   -0.31,    0.20,   -0.22,   -1.53
196807,   -1.18,   -0.85,   -4.43,   -1.39,   -1.59,   -0.70,   -2.63,   -4.35,   -0.45,   -1.84,   -0.68,   -1.96,    1.21,   -3.72,    0.60,   -4.52,   -2.51,   -7.12
196808,    2.35,    1.25,    1.92,    2.60,    1.30,    1.34,    1.53,    2.09,    3.48,    2.17,    1.75,    1.12,    2.03,    0.18,    1.25,    1.70,    2.68,    1.17
196809,    6.52,    3.50,    3.86,    6.83,    4.24,    2.49,    3.94,    4.64,    7.64,    6.43,    5.77,    3.62,    1.55,    4.09,    5.69,    2.88,    4.09,    5.52
196810,    2.85,    1.63,   -1.45,    3.21,    1.13,    2.06,   -1.23,   -0.05,    2.79,    3.42,    1.94,    0.79,    1.18,    3.50,    1.98,   -3.24,    1.05,   -1.78
