This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197302,   -3.14,   -4.45,   -5.72,   -6.90,  -10.34,   -3.08,   -3.30,   -3.53,   -5.60,   -5.44,   -6.09,   -7.56,   -6.35,  -10.01,  -10.60
197303,   -0.47,   -0.74,   -0.95,   -1.34,   -3.45,   -0.26,   -0.96,    0.32,   -1.84,   -0.79,   -1.16,   -0.59,   -2.59,   -2.34,   -4.49
197304,   -3.27,   -5.20,   -7.75,   -8.01,  -11.72,   -2.85,   -4.29,   -5.12,   -5.30,   -8.66,   -6.73,   -6.51,   -9.92,  -10.52,  -12.73
197305,   -0.86,   -2.68,   -2.72,   -5.66,  -11.14,   -1.41,    0.21,   -2.49,   -2.88,   -2.29,   -3.18,   -4.78,   -6.60,   -9.97,  -12.25
197306,    0.04,   -1.17,   -2.69,   -3.36,   -4.83,   -0.32,    0.65,   -0.84,   -1.71,   -3.65,   -1.25,   -3.02,   -3.75,   -5.51,   -4.14
197307,    2.14,    5.86,   12.25,   13.60,   17.74,    1.49,    3.73,    4.35,    7.92,   12.50,   11.83,   13.37,   13.92,   16.80,   18.72
197308,   -3.38,   -2.70,   -2.32,   -1.82,   -6.29,   -3.77,   -2.28,   -3.09,   -2.07,   -0.23,   -4.85,   -1.12,   -2.73,   -4.25,   -8.61
197309,    2.59,    7.79,    7.94,    9.47,   11.39,    1.64,    5.31,    6.37,   10.15,    6.98,    9.41,    9.83,    8.97,   12.75,   10.08
197310,   -0.44,    2.03,   -1.89,   -1.43,   -3.39,   -0.77,    0.21,    3.10,   -0.05,   -1.23,   -2.77,   -0.04,   -3.47,   -3.73,   -3.11
197311,  -10.06,  -11.65,  -14.88,  -18.29,  -21.04,   -9.89,  -10.44,  -11.92,  -11.40,  -13.81,  -17.03,  -18.34,  -18.24,  -22.04,  -20.10
197312,    1.74,    1.79,    0.59,   -1.70,   -1.79,    0.95,    3.76,    1.61,    2.11,    0.49,    0.74,   -1.05,   -2.53,   -0.89,   -2.69
197401,   -0.42,   -1.16,    2.00,    4.97,    9.32,   -0.50,   -0.25,   -2.03,    0.10,    1.15,    2.94,    1.27,   10.20,    6.31,   12.43
197402,    0.18,   -0.03,    0.08,    0.85,   -0.76,   -0.37,    1.41,    0.78,   -1.15,    0.05,    0.12,   -0.04,    1.87,   -0.71,   -0.81
197403,   -2.14,   -2.47,   -1.54,   -3.47,   -2.87,   -1.97,   -2.47,   -2.28,   -2.76,   -1.47,   -1.66,   -4.29,   -2.39,   -4.08,   -1.14
197404,   -4.18,   -4.01,   -4.84,   -6.17,   -7.26,   -4.16,   -4.23,   -3.55,   -4.72,   -3.88,   -6.19,   -5.42,   -7.28,   -6.47,   -8.21
197405,   -2.64,   -4.49,   -5.15,   -7.26,   -9.52,   -1.84,   -4.86,   -5.18,   -3.54,   -5.83,   -4.14,   -6.49,   -8.21,   -9.65,   -9.36
197406,   -1.50,   -1.81,   -3.92,   -3.90,   -5.98,   -0.86,   -3.59,   -0.92,   -3.18,   -4.21,   -3.58,   -2.88,   -5.53,   -5.02,   -6.91
197407,   -7.89,   -7.74,   -5.95,   -5.04,   -6.29,   -8.60,   -5.62,   -8.64,   -6.27,   -6.06,   -5.77,   -5.37,   -4.68,   -7.44,   -4.37
197408,   -8.06,  -10.47,   -8.74,   -9.72,  -10.26,   -7.61,   -9.33,   -9.78,  -11.51,   -9.21,   -8.19,  -10.00,   -9.34,   -9.74,  -10.96
197409,  -11.34,   -9.94,   -9.22,  -12.32,  -11.82,  -10.98,  -12.30,  -11.49,   -7.86,   -9.65,   -8.82,  -13.14,  -11.20,  -11.07,  -12.60
197410,   14.89,   18.66,   19.22,   19.55,   17.08,   13.71,   17.64,   17.87,   19.44,   15.94,   23.15,   19.19,   20.19,   18.30,   15.23
197411,   -4.50,   -3.93,   -1.41,   -4.34,   -6.09,   -4.86,   -3.77,   -4.94,   -2.74,   -1.53,   -1.23,   -4.51,   -4.16,   -5.27,   -7.37
197412,   -0.88,   -3.87,   -4.88,   -4.38,   -8.48,   -1.13,   -0.41,   -3.83,   -3.94,   -4.79,   -4.99,   -4.14,   -4.63,   -6.05,  -11.72
197501,   11.00,   16.42,   15.17,   21.80,   29.12,    9.67,   13.20,   13.77,   20.96,   12.82,   17.55,   21.62,   22.01,   28.17,   30.42
197502,    6.10,    5.57,    6.18,    6.46,    5.70,    3.65,    9.02,    4.76,    6.90,    4.67,    8.27,    4.95,    8.64,    7.45,    3.02
197503,    1.56,    3.03,    5.72,    6.95,   10.51,    1.54,    1.58,    3.15,    2.84,    5.63,    5.84,    6.73,    7.26,   10.26,   10.95
197504,    4.17,    5.16,    5.31,    6.28,    3.85,    3.90,    4.55,    5.23,    5.05,    6.21,    3.82,    5.85,    6.64,    5.80,    1.08
197505,    4.68,    6.45,    6.41,    7.55,    9.01,    4.45,    5.11,    6.11,    6.97,    4.70,    8.43,    8.37,    6.51,    8.59,    9.70
197506,    4.53,    6.13,    6.26,    6.46,    6.81,    4.26,    5.06,    5.93,    6.42,    6.02,    6.67,    5.12,    8.54,    7.09,    6.43
197507,   -6.07,   -6.25,   -6.63,   -5.74,   -5.44,   -6.02,   -6.19,   -6.15,   -6.41,   -7.43,   -5.41,   -5.91,   -5.54,   -6.02,   -4.64
197508,   -1.81,   -1.98,   -3.35,   -4.25,   -6.68,   -1.99,   -1.38,   -1.50,   -2.62,   -2.91,   -4.02,   -3.90,   -4.67,   -6.06,   -7.44
197509,   -3.02,   -4.68,   -4.22,   -4.92,   -5.93,   -3.05,   -2.94,   -4.11,   -5.39,   -4.20,   -4.25,   -4.56,   -5.46,   -5.46,   -6.48
197510,    6.15,    6.16,    6.09,    5.20,    0.94,    7.01,    4.32,    6.76,    5.37,    6.14,    6.03,    5.72,    4.52,    2.08,   -0.62
197511,    3.11,    2.55,    3.26,    4.47,    1.98,    3.28,    2.64,    2.26,    2.94,    3.07,    3.50,    4.89,    3.97,    2.72,    0.96
197512,   -1.29,   -0.80,   -1.49,   -0.37,   -0.42,   -1.01,   -1.84,   -0.98,   -0.61,   -1.60,   -1.33,    0.02,   -0.85,   -0.68,   -0.11
197601,   11.17,   12.23,   16.24,   16.20,   19.44,   10.46,   13.52,   10.33,   15.99,   15.57,   17.32,   15.23,   17.25,   18.30,   20.92
197602,   -0.61,    0.07,    2.28,    5.52,   10.45,   -0.63,   -0.55,   -1.05,    1.59,    2.43,    2.06,    4.32,    6.80,    7.81,   14.03
197603,    3.20,    1.71,    2.54,    2.17,    2.25,    3.23,    3.11,    1.87,    1.44,    2.55,    2.53,    1.81,    2.53,    3.46,    1.01
197604,   -0.42,   -1.63,   -1.66,   -2.91,   -3.11,   -0.50,   -0.22,   -1.85,   -1.14,   -0.80,   -2.66,   -4.00,   -1.64,   -2.61,   -3.56
197605,   -0.99,   -0.74,   -0.49,   -1.26,   -2.43,   -1.36,   -0.14,   -1.05,   -0.30,   -0.02,   -1.15,   -2.03,   -0.24,   -1.45,   -3.38
