This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on AC/B.

The portfolios are constructed at the end of June. Ac/B (accruals) is the change in 
operating working capital per split-adjusted share from t-2 to t-1
divided by book equity per split-adjusted share in t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
  2005,    3.08,    6.12,    3.16,    9.42,    2.74,   -2.21,    8.97,    3.62,    7.72,    2.55,    3.67,    5.65,   12.74,    9.32,   -1.81
  2006,   17.74,   15.44,   19.20,   18.56,   15.66,   14.86,   21.55,   17.12,   13.62,   20.52,   17.86,   20.30,   17.10,   15.57,   15.67
  2007,   -4.93,    0.11,   -0.43,    2.79,   -5.61,   -9.67,    1.97,    1.08,   -0.91,   -1.55,    0.58,   -0.34,    5.60,    1.36,  -10.53
  2008,  -51.02,  -46.63,  -38.85,  -40.95,  -48.82,  -53.36,  -48.13,  -49.61,  -43.60,  -40.18,  -37.68,  -42.35,  -39.45,  -47.03,  -50.16
  2009,   96.81,   69.58,   73.02,   67.90,  101.13,  105.89,   86.25,   70.03,   68.76,   74.13,   71.43,   67.01,   68.63,   80.30,  117.50
  2010,   35.62,   34.15,   25.84,   27.27,   29.12,   38.43,   32.60,   33.44,   34.55,   24.83,   26.63,   25.97,   28.65,   29.02,   29.12
  2011,  -11.45,   -4.10,   -2.91,   -3.10,  -17.89,  -16.55,   -5.64,   -4.54,   -3.71,   -1.28,   -4.30,   -0.77,   -5.87,  -11.72,  -22.28
  2012,   17.39,   17.07,   14.99,   16.81,   14.56,   14.46,   21.10,   16.41,   17.56,   15.48,   14.45,   18.16,   15.65,   19.35,   10.93
  2013,   47.63,   40.99,   42.49,   42.83,   45.77,   43.70,   52.76,   42.78,   39.29,   41.22,   43.79,   39.84,   46.16,   41.63,   49.39
  2014,   -0.07,    3.17,    8.05,    5.75,    0.88,    0.98,   -1.43,    3.17,    3.11,    8.87,    6.95,    5.95,    5.30,    3.56,   -1.03
  2015,   -8.60,   -4.74,   -8.02,   -8.73,  -11.86,   -9.85,   -7.28,   -6.62,   -2.67,   -4.30,  -11.85,  -11.29,   -6.20,   -9.04,  -13.74
  2016,   14.28,   23.92,   15.45,   17.94,    9.37,    8.88,   20.17,   28.57,   18.74,    9.72,   21.31,   16.40,   19.19,   13.41,    6.61
  2017,   17.38,   15.51,   23.27,   21.34,   15.03,   20.70,   12.94,   13.17,   18.14,   23.25,   23.19,   25.74,   17.44,   13.82,   15.92
  2018,  -18.19,  -11.68,  -10.28,  -12.31,  -24.17,  -19.63,  -16.33,  -12.67,  -10.56,   -9.49,  -11.16,   -8.46,  -15.88,  -15.98,  -29.61
  2019,   16.17,   26.43,   23.14,   22.17,   25.14,   16.89,   15.31,   26.87,   25.91,   18.97,   27.52,   23.06,   21.24,   36.93,   18.16
  2020,   56.58,   44.39,   28.81,   36.82,   51.73,   55.26,   57.56,   43.79,   45.30,   25.50,   32.18,   27.65,   46.59,   35.03,   62.50
  2021,   30.40,   26.59,   21.34,   21.42,    4.93,   36.85,   21.26,   34.79,   19.47,   19.38,   23.23,   17.49,   25.84,   19.53,   -2.75
  2022,  -25.08,  -25.02,  -26.51,  -27.21,  -34.11,  -28.08,  -21.74,  -25.22,  -24.94,  -27.57,  -25.53,  -30.90,  -22.46,  -27.60,  -37.83
  2023,    2.48,   11.19,   16.01,   15.03,   13.22,   -3.62,   10.07,   10.13,   12.30,   13.21,   18.55,   15.95,   13.57,   12.77,   13.46
  2024,    6.92,    4.86,   16.21,   13.49,    2.47,   10.49,    2.72,    5.32,    4.36,   21.25,   11.28,   13.75,   12.60,    8.24,   -1.33
  2025,   -9.45,   19.17,   15.61,   11.91,    8.91,  -15.59,   -1.22,   21.26,   16.80,   14.15,   16.44,   12.15,   11.87,   18.42,    3.72


  Number of Firms in Portfolios
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196308,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196309,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196310,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196311,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196312,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196401,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196402,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196403,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196404,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196405,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196406,     202,     153,     151,     158,     220,     116,      86,      73,      80,      79,      72,      77,      81,     103,     117
196407,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196408,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196409,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196410,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196411,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196412,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196501,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196502,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196503,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196504,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196505,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196506,     239,     171,     162,     170,     224,     128,     111,      83,      88,      79,      83,      81,      89,      95,     129
196507,     251,     178,     178,     191,     261,     146,     105,      84,      94,      75,     103,      99,      92,     115,     146
196508,     251,     178,     178,     191,     261,     146,     105,      84,      94,      75,     103,      99,      92,     115,     146
196509,     251,     178,     178,     191,     261,     146,     105,      84,      94,      75,     103,      99,      92,     115,     146
196510,     251,     178,     178,     191,     261,     146,     105,      84,      94,      75,     103,      99,      92,     115,     146
196511,     251,     178,     178,     191,     261,     146,     105,      84,      94,      75,     103,      99,      92,     115,     146
196512,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196601,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196602,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196603,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196604,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196605,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196606,     251,     178,     178,     190,     261,     146,     105,      84,      94,      75,     103,      98,      92,     115,     146
196607,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196608,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196609,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196610,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196611,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196612,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196701,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196702,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196703,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196704,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196705,     240,     199,     203,     221,     275,     138,     102,     101,      98,      92,     111,     108,     113,     121,     154
196706,     239,     199,     203,     221,     275,     137,     102,     101,      98,      92,     111,     108,     113,     121,     154
196707,     285,     203,     191,     237,     302,     170,     115,      94,     109,      93,      98,     113,     124,     139,     163
196708,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196709,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196710,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196711,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196712,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196801,     285,     203,     190,     237,     302,     170,     115,      94,     109,      92,      98,     113,     124,     139,     163
196802,     284,     203,     190,     237,     301,     170,     114,      94,     109,      92,      98,     113,     124,     139,     162
196803,     284,     203,     190,     237,     301,     170,     114,      94,     109,      92,      98,     113,     124,     139,     162
196804,     284,     203,     190,     237,     301,     170,     114,      94,     109,      92,      98,     113,     124,     139,     162
196805,     284,     203,     190,     237,     301,     170,     114,      94,     109,      92,      98,     113,     124,     139,     162
196806,     284,     203,     190,     237,     301,     170,     114,      94,     109,      92,      98,     113,     124,     139,     162
196807,     330,     230,     219,     250,     312,     189,     141,     114,     116,     113,     106,     118,     132,     141,     171
196808,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196809,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196810,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196811,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196812,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196901,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196902,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196903,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196904,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196905,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196906,     328,     230,     219,     250,     312,     188,     140,     114,     116,     113,     106,     118,     132,     141,     171
196907,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
196908,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
196909,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
196910,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
196911,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
196912,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197001,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197002,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197003,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197004,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197005,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197006,     340,     248,     251,     292,     359,     179,     161,     127,     121,     117,     134,     139,     153,     162,     197
197007,     364,     286,     288,     282,     408,     220,     144,     135,     151,     139,     149,     140,     142,     178,     230
197008,     364,     286,     288,     282,     408,     220,     144,     135,     151,     139,     149,     140,     142,     178,     230
197009,     364,     286,     288,     282,     407,     220,     144,     135,     151,     139,     149,     140,     142,     178,     229
197010,     364,     286,     288,     282,     407,     220,     144,     135,     151,     139,     149,     140,     142,     178,     229
197011,     364,     286,     288,     282,     407,     220,     144,     135,     151,     139,     149,     140,     142,     178,     229
197012,     364,     286,     288,     282,     407,     220,     144,     135,     151,     139,     149,     140,     142,     178,     229
197101,     364,     286,     287,     282,     407,     220,     144,     135,     151,     138,     149,     140,     142,     178,     229
197102,     364,     286,     287,     282,     407,     220,     144,     135,     151,     138,     149,     140,     142,     178,     229
197103,     364,     286,     286,     282,     407,     220,     144,     135,     151,     137,     149,     140,     142,     178,     229
197104,     364,     286,     286,     282,     407,     220,     144,     135,     151,     137,     149,     140,     142,     178,     229
197105,     364,     286,     286,     282,     407,     220,     144,     135,     151,     137,     149,     140,     142,     178,     229
197106,     364,     286,     286,     281,     407,     220,     144,     135,     151,     137,     149,     139,     142,     178,     229
197107,     404,     309,     292,     313,     429,     215,     189,     156,     153,     148,     144,     159,     154,     189,     240
