This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
  2008,  -32.97,  -26.75,  -41.56,  -33.82,  -40.42,  -46.50,  -52.07,  -48.14,  -32.15,  -33.64,  -36.12,  -34.50,  -46.94,  -51.52,  -40.76,  -52.16,  -52.45
  2009,   24.24,   31.22,   28.90,   32.45,   34.63,   51.49,   41.03,   20.82,   40.13,   34.76,   30.47,   43.46,   22.43,   62.78,   38.59,   40.61,   41.26
  2010,   13.06,   20.43,   27.17,   12.37,   22.06,   26.03,   16.06,   31.31,   23.08,   27.09,    5.34,   20.83,   24.10,   32.19,   18.90,   18.55,   15.18
  2011,    7.22,   19.10,    1.46,   -3.48,    0.09,   -1.43,  -12.43,    5.30,   -2.38,   -4.58,   -2.62,   -1.04,    1.01,    1.95,   -6.59,   -5.06,  -24.30
  2012,   15.48,   14.69,   14.12,   20.49,   15.00,   23.51,   12.99,   18.06,    9.76,   21.64,   18.94,   16.92,   13.48,   20.41,   24.39,   14.38,    9.92
  2013,   35.29,   43.89,   36.43,   32.99,   40.74,   17.18,   50.86,   39.72,   33.58,   27.82,   37.93,   27.89,   52.60,    9.08,   26.78,   50.89,   50.48
  2014,   12.41,   10.12,   12.00,    9.95,   13.13,    9.13,    8.19,   16.06,    4.99,   10.31,   11.11,   10.48,   15.62,    8.48,   11.19,    9.81,    3.91
  2015,   -0.44,   -1.60,   -8.76,   -4.12,   11.58,    0.22,   11.97,   -8.80,   -8.32,  -10.00,    2.50,    5.34,   15.38,   -1.83,    3.77,    3.63,   22.06
  2016,   14.82,   29.19,   19.67,   14.98,    9.62,    2.41,    4.50,   22.61,   20.10,   10.28,   23.01,    6.94,   10.59,    3.11,    1.92,    4.39,    4.48
  2017,   22.33,   13.99,   18.19,   20.24,   30.42,   28.01,   12.44,   24.31,    2.95,   18.85,   22.86,   24.08,   36.59,   30.24,   25.39,   14.80,   12.96
  2018,   -4.01,   -5.77,   -7.24,   -6.87,   -0.62,    2.28,  -16.82,   -0.58,  -20.80,  -13.73,    0.73,  -12.61,    6.21,   -3.70,   11.54,  -14.21,  -19.64
  2019,   33.03,   26.13,   26.51,   23.93,   27.84,   26.63,   31.74,   31.48,   19.32,   23.60,   25.54,   31.47,   26.44,   20.72,   32.73,   34.42,   27.88
  2020,   17.37,   17.07,   14.20,   25.54,   38.98,   71.38,   29.85,   17.74,    7.36,   11.97,   31.52,   13.12,   46.72,   49.24,   87.83,   29.74,   33.25
  2021,   31.43,   49.57,   15.61,   22.74,   17.99,   21.42,   -3.81,   18.58,   12.80,   19.97,   25.35,   20.38,   17.15,   29.26,   16.89,    2.81,   -9.97
  2022,  -16.32,   -7.14,   -0.19,  -12.89,  -36.38,  -37.65,  -28.13,    0.63,   -2.42,  -18.15,   -7.30,  -32.59,  -37.60,  -19.89,  -47.65,  -26.14,  -30.24
  2023,   25.73,   11.86,   12.95,   13.88,   58.14,   42.65,   24.16,   10.19,   15.69,    7.74,   15.23,   66.37,   41.08,   24.91,   59.64,   21.37,   27.16
  2024,   20.18,    7.14,   16.61,   51.90,   67.69,    7.97,   22.69,   20.25,   14.57,   12.44,   75.27,  107.83,    6.26,    2.74,   22.87,   25.25,   18.78
  2025,   20.36,    4.62,   10.53,    3.00,   16.75,   19.33,   32.63,   11.57,   10.35,   19.67,   -8.22,   45.22,   -2.56,   22.30,   13.33,   45.08,   14.45


  Equal Weighted Returns -- Annual from January to December
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
  1964,   19.40,   24.29,   20.75,   21.77,   14.26,   15.72,   12.53,   20.00,   21.45,   24.89,   17.63,   11.30,   17.26,   15.23,   16.12,   15.67,   10.07
  1965,   39.55,   41.53,   28.34,   27.60,   39.90,   35.72,   37.48,   21.63,   35.77,   23.15,   32.65,   38.47,   41.37,   38.00,   32.58,   31.44,   42.65
  1966,   -4.99,   -8.04,   -4.63,   -8.44,   -6.06,   -6.28,   -6.62,   -4.72,   -4.97,   -9.58,   -7.08,   -6.67,   -5.46,   -7.81,   -4.47,   -5.23,   -7.84
  1967,   79.59,   85.20,   57.79,   54.26,   61.85,   70.87,   78.91,   50.43,   64.99,   47.09,   60.60,   60.14,   63.43,   74.40,   67.13,   64.78,   90.38
  1968,   45.27,   55.17,   33.38,   32.66,   30.93,   31.38,   24.17,   35.21,   31.41,   30.75,   34.32,   28.52,   33.37,   32.49,   29.84,   20.93,   26.44
  1969,  -21.55,  -24.34,  -20.47,  -21.15,  -22.21,  -28.80,  -32.65,  -16.91,  -23.61,  -21.10,  -21.23,  -21.45,  -23.04,  -27.43,  -30.02,  -28.58,  -35.76
  1970,   -1.83,   -1.72,   -3.98,   -4.81,   -9.72,  -13.27,  -23.54,    0.37,   -7.90,   -2.73,   -6.93,   -9.33,  -10.24,  -13.85,  -12.87,  -19.09,  -26.87
  1971,   18.71,   17.29,   19.75,   20.10,   24.54,   20.53,   19.72,   19.99,   19.47,   21.72,   18.67,   22.75,   26.27,   20.44,   20.49,   23.11,   17.51
  1972,    8.27,    4.43,   10.33,    7.19,    6.84,    5.81,   -3.08,    9.58,   10.77,    6.51,    7.66,    7.10,    6.59,    8.10,    3.49,   -0.36,   -5.43
  1973,  -31.70,  -31.25,  -30.40,  -33.71,  -32.92,  -39.67,  -40.85,  -32.95,  -28.02,  -34.31,  -32.95,  -30.94,  -34.69,  -39.00,  -40.66,  -33.89,  -45.67
  1974,  -16.19,  -18.06,  -23.15,  -22.19,  -27.66,  -29.36,  -31.27,  -17.26,  -27.27,  -23.79,  -20.28,  -25.27,  -30.00,  -28.44,  -30.36,  -29.01,  -32.81
  1975,   72.79,   69.65,   70.81,   66.16,   75.00,   65.57,   72.66,   67.67,   73.15,   65.06,   67.37,   79.26,   70.56,   69.99,   61.56,   74.25,   70.82
  1976,   53.30,   54.61,   42.94,   47.33,   41.43,   46.54,   38.59,   43.39,   42.57,   43.24,   51.64,   38.96,   43.50,   46.57,   46.36,   35.21,   41.45
  1977,   27.53,   27.09,   11.92,   13.76,   13.85,   18.26,   16.91,   11.42,   12.14,   13.23,   14.30,   12.58,   15.02,   20.79,   15.37,   13.27,   20.08
  1978,   33.32,   32.16,   16.88,   17.53,   24.79,   23.13,   13.65,   14.32,   19.21,   17.72,   17.21,   24.64,   24.91,   24.64,   21.48,   12.04,   14.99
  1979,   46.43,   40.06,   34.78,   41.76,   39.60,   45.93,   33.75,   36.12,   33.37,   38.32,   44.92,   35.44,   43.44,   45.88,   45.91,   27.57,   38.70
  1980,   39.63,   40.00,   31.19,   36.79,   44.83,   45.08,   44.37,   29.90,   32.47,   35.99,   37.51,   37.69,   51.61,   46.95,   43.20,   41.88,   46.40
  1981,   15.16,    6.63,    9.13,    6.68,    2.10,   -4.61,  -10.97,   12.84,    5.84,    6.05,    7.37,    2.79,    1.57,   -0.36,   -9.03,   -3.46,  -15.17
  1982,   36.74,   31.28,   31.44,   34.89,   30.17,   29.23,   11.48,   28.53,   34.21,   31.13,   38.95,   26.29,   33.98,   37.26,   21.87,   10.20,   11.77
  1983,   44.79,   50.73,   40.06,   34.28,   39.61,   33.30,   24.07,   40.42,   39.72,   34.21,   34.25,   43.61,   36.08,   34.69,   31.88,   20.82,   24.59
  1984,   -1.06,   -9.70,   -7.83,   -8.50,   -8.54,   -7.62,  -19.06,   -7.26,   -8.49,   -7.08,   -9.86,  -12.03,   -4.27,   -5.90,   -9.11,  -11.55,  -22.65
  1985,   32.79,   18.54,   26.17,   31.75,   28.86,   20.69,   16.73,   29.58,   22.57,   33.38,   29.70,   31.89,   25.29,   22.23,   19.04,   17.32,   16.47
  1986,   12.87,    8.56,    8.67,    8.24,    8.94,    3.99,    1.96,    5.26,   12.60,    8.87,    7.57,    5.33,   13.03,    7.31,    0.80,    8.36,   -1.18
  1987,    0.22,   -4.07,   -3.82,   -6.57,   -6.62,   -9.90,  -15.51,   -4.76,   -2.61,   -4.87,   -8.35,   -6.47,   -6.82,   -8.12,  -11.13,   -8.60,  -18.66
  1988,   27.65,   26.21,   23.54,   21.99,   24.57,   12.74,   13.06,   20.01,   27.57,   25.13,   18.71,   31.00,   18.72,   19.70,    7.46,   21.76,    9.09
  1989,   16.85,   12.33,   15.86,   12.10,   15.66,   11.22,    7.58,   15.73,   16.08,   12.39,   11.66,   15.47,   15.79,   14.32,    8.17,    4.60,    9.12
  1990,  -17.77,  -21.17,  -17.57,  -20.74,  -17.76,  -23.36,  -25.81,  -19.03,  -15.90,  -22.75,  -18.85,  -19.21,  -16.31,  -19.03,  -27.70,  -21.59,  -28.03
  1991,   43.56,   51.68,   50.14,   59.35,   61.40,   56.93,   60.36,   48.07,   51.61,   57.22,   61.61,   57.35,   66.21,   61.83,   51.88,   64.86,   57.90
  1992,   36.71,   45.53,   32.00,   24.38,   21.18,   26.01,   20.29,   29.97,   32.75,   25.07,   23.43,   22.88,   19.45,   31.55,   20.94,   15.37,   23.00
  1993,   28.94,   41.76,   24.20,   24.97,   27.53,   18.34,   19.03,   21.57,   26.89,   24.32,   25.52,   22.48,   32.02,   13.63,   22.90,   21.42,   17.85
  1994,    6.38,    4.16,    1.84,    1.63,    0.34,   -3.46,  -17.41,    0.76,    2.90,    1.39,    1.74,   -0.09,    0.76,   -2.30,   -4.43,   -7.65,  -21.91
  1995,   33.97,   30.00,   28.75,   34.42,   33.75,   32.55,   31.78,   31.55,   25.77,   33.38,   35.46,   31.51,   35.99,   35.70,   30.22,   37.32,   28.77
  1996,   24.64,   24.04,   22.23,   30.80,   17.91,   17.59,    8.12,   22.90,   21.81,   33.36,   28.62,   19.93,   15.95,   19.56,   15.77,   13.72,    5.13
  1997,   38.47,   31.02,   28.03,   33.10,   24.50,   16.88,    5.75,   29.50,   27.19,   35.44,   30.85,   24.79,   24.31,   20.48,   13.47,    8.48,    4.23
  1998,    2.99,   -6.45,   -0.46,   -1.09,    2.28,   -1.51,  -12.46,    2.78,   -3.46,   -5.87,    3.34,    1.69,    2.90,    2.31,   -5.09,  -13.40,  -12.11
  1999,   15.71,   23.93,   18.39,   31.94,   45.91,   50.25,   47.13,   15.11,   21.30,   39.63,   25.37,   52.23,   39.67,   55.15,   45.40,   49.82,   44.12
  2000,   11.13,   -7.72,    1.07,    3.42,    3.57,  -17.50,  -41.74,    2.56,   -0.23,    6.90,    0.43,   -2.02,    8.78,  -14.37,  -20.37,  -28.10,  -49.40
  2001,   31.15,   29.47,   25.38,   26.59,   33.96,   27.33,   12.92,   28.63,   22.28,   26.76,   26.19,   32.20,   35.07,   27.88,   26.74,   11.16,   13.44
  2002,    8.22,    6.41,    0.67,   -2.08,  -12.48,  -24.69,  -37.45,   -2.03,    2.78,   -3.28,   -1.02,   -8.18,  -15.48,  -20.89,  -27.82,  -29.67,  -42.06
  2003,   57.51,   72.62,   70.35,   75.96,   79.05,   86.53,   92.96,   73.06,   67.68,   77.69,   74.17,   69.50,   87.74,   79.60,   92.83,   87.68,   96.67
  2004,   21.26,   44.88,   29.17,   22.18,   21.78,   17.26,   15.16,   29.89,   28.52,   19.03,   25.29,   23.80,   19.88,   15.77,   18.78,   17.71,   13.41
  2005,    5.76,    2.43,    1.02,    7.95,    5.07,    9.20,   -3.50,   -4.64,    6.83,   10.70,    5.55,    5.70,    4.38,    6.26,   11.78,   -0.35,   -5.47
  2006,   16.71,   24.26,   22.89,   19.62,   19.02,   16.87,    9.24,   24.62,   21.09,   18.05,   21.22,   17.38,   20.35,   18.53,   15.41,   13.69,    5.88
  2007,   -6.50,   -8.85,  -10.22,   -4.18,   -3.50,   -4.49,  -10.68,   -8.36,  -12.18,   -2.87,   -5.40,   -3.61,   -3.22,   -4.00,   -4.91,   -8.96,  -11.65
  2008,  -36.50,  -47.94,  -44.34,  -44.27,  -45.66,  -45.14,  -54.84,  -44.60,  -44.04,  -41.10,  -46.78,  -44.40,  -46.79,  -48.19,  -42.17,  -53.50,  -55.71
  2009,   47.25,   47.70,   61.22,   80.46,   63.60,   75.44,   88.72,   55.65,   68.02,   73.05,   85.75,   69.41,   58.47,   85.29,   66.80,   76.02,   97.57
  2010,   26.81,   22.21,   26.02,   33.02,   35.25,   33.51,   19.22,   22.21,   30.30,   29.49,   36.89,   37.83,   32.99,   37.26,   29.75,   23.93,   15.57
  2011,    0.66,  -11.94,   -6.20,   -3.41,   -5.74,  -10.32,  -23.84,   -6.25,   -6.21,   -3.96,   -2.88,   -4.03,   -7.38,  -11.79,   -8.82,  -18.72,  -28.11
  2012,   19.78,   36.02,   23.99,   17.59,   23.06,   20.84,    8.86,   23.94,   24.18,   24.41,   11.48,   21.78,   24.32,   22.70,   19.32,   11.37,    6.96
  2013,   44.22,   49.57,   46.54,   46.11,   49.18,   39.17,   46.89,   47.97,   44.63,   47.85,   44.22,   51.90,   46.51,   38.46,   39.66,   49.05,   45.31
  2014,    8.11,    5.45,    1.54,    7.22,    5.51,    6.26,   -3.46,    2.70,    0.14,   10.83,    3.57,    6.40,    4.52,    2.02,    9.99,   -5.08,   -2.38
  2015,   -1.68,   -7.72,   -4.31,   -8.19,   -6.66,   -7.46,  -12.75,   -0.93,   -8.60,   -1.71,  -13.85,   -9.06,   -4.63,   -8.44,   -6.60,  -10.17,  -15.16
  2016,   23.84,   43.76,   28.23,   30.23,   17.22,   15.33,    0.50,   31.31,   24.75,   30.56,   29.59,   17.68,   16.75,   17.48,   13.07,    8.43,   -5.18
  2017,   16.96,   23.29,   16.36,   14.11,   15.55,   21.46,   13.62,   17.32,   15.18,   10.98,   16.86,   12.86,   18.22,   19.72,   23.42,   20.51,    8.62
  2018,   -9.69,   -4.75,  -12.31,  -15.00,  -13.20,   -8.84,  -27.22,  -10.43,  -14.00,  -14.86,  -15.93,  -11.36,  -14.46,   -5.91,  -11.95,  -18.29,  -33.18
  2019,   24.53,   10.09,   19.97,   26.73,   26.93,   25.18,   19.10,   16.14,   23.74,   30.45,   23.11,   21.44,   32.12,   22.10,   27.73,   26.21,   14.88
  2020,   20.86,   62.98,   24.64,   19.35,   34.83,   48.44,   63.09,   24.81,   23.18,   13.15,   24.85,   35.95,   33.88,   44.33,   52.28,   47.51,   73.83
  2021,   34.93,   47.67,   41.44,   41.52,   34.60,   17.33,   -4.38,   33.55,   48.80,   32.16,   49.64,   40.49,   30.02,   22.86,   12.02,    2.56,   -7.72
  2022,  -14.05,  -22.25,   -6.64,  -10.74,  -16.76,  -26.37,  -48.64,   -9.72,   -3.21,   -7.43,  -13.66,  -15.16,  -17.72,  -21.76,  -31.08,  -42.08,  -53.53
  2023,   16.63,   11.55,    8.13,   22.57,   16.02,   14.08,  -10.50,    8.81,    7.16,   22.08,   22.93,   14.19,   17.44,   14.13,   13.89,   -5.63,  -12.32
  2024,    8.70,   16.09,   15.41,   13.89,   23.79,    3.06,    0.51,   14.41,   16.18,    7.72,   19.80,   27.91,   20.02,    3.98,    2.06,   16.39,   -6.03
  2025,    6.24,   -5.26,    7.21,    8.15,   19.07,   19.46,   -1.66,    9.38,    5.19,    9.28,    6.77,   22.44,   15.72,   22.47,   16.51,   23.96,   -9.68


  Number of Firms in Portfolios
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196308,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196309,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196310,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196311,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196312,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196401,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196402,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196403,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196404,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196405,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196406,     203,     318,     113,     111,     111,     135,     180,      58,      55,      63,      48,      53,      58,      61,      74,      79,     101
196407,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196408,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196409,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196410,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196411,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196412,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196501,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196502,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196503,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196504,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196505,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196506,     228,     367,     122,     114,     130,     132,     179,      63,      59,      56,      58,      66,      64,      61,      71,      80,      99
196507,     252,     345,     136,     138,     143,     153,     197,      70,      66,      71,      67,      71,      72,      83,      70,      92,     105
196508,     252,     345,     136,     138,     143,     153,     197,      70,      66,      71,      67,      71,      72,      83,      70,      92,     105
196509,     252,     345,     136,     138,     143,     153,     197,      70,      66,      71,      67,      71,      72,      83,      70,      92,     105
196510,     252,     345,     136,     138,     143,     153,     197,      70,      66,      71,      67,      71,      72,      83,      70,      92,     105
196511,     252,     345,     136,     138,     143,     153,     197,      70,      66,      71,      67,      71,      72,      83,      70,      92,     105
196512,     252,     345,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196601,     252,     345,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196602,     252,     345,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196603,     252,     344,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196604,     252,     344,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196605,     252,     344,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196606,     252,     344,     136,     137,     143,     153,     197,      70,      66,      71,      66,      71,      72,      83,      70,      92,     105
196607,     256,     371,     153,     167,     150,     171,     206,      72,      81,      78,      89,      73,      77,      81,      90,      95,     111
196608,     256,     371,     153,     167,     150,     171,     206,      72,      81,      78,      89,      73,      77,      81,      90,      95,     111
196609,     256,     371,     153,     167,     150,     171,     205,      72,      81,      78,      89,      73,      77,      81,      90,      95,     110
196610,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196611,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196612,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196701,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196702,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196703,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196704,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196705,     256,     371,     153,     167,     150,     171,     204,      72,      81,      78,      89,      73,      77,      81,      90,      95,     109
196706,     256,     371,     153,     167,     150,     171,     203,      72,      81,      78,      89,      73,      77,      81,      90,      94,     109
196707,     299,     369,     157,     161,     181,     196,     203,      82,      75,      76,      85,      86,      95,      85,     111,      83,     120
196708,     299,     369,     157,     161,     181,     196,     202,      82,      75,      76,      85,      86,      95,      85,     111,      82,     120
196709,     299,     368,     157,     161,     181,     196,     202,      82,      75,      76,      85,      86,      95,      85,     111,      82,     120
196710,     298,     368,     157,     161,     181,     196,     202,      82,      75,      76,      85,      86,      95,      85,     111,      82,     120
196711,     298,     368,     156,     161,     181,     196,     202,      81,      75,      76,      85,      86,      95,      85,     111,      82,     120
196712,     298,     368,     156,     161,     181,     196,     202,      81,      75,      76,      85,      86,      95,      85,     111,      82,     120
196801,     298,     368,     156,     161,     181,     196,     202,      81,      75,      76,      85,      86,      95,      85,     111,      82,     120
196802,     298,     367,     154,     161,     180,     196,     202,      79,      75,      76,      85,      85,      95,      85,     111,      82,     120
196803,     298,     367,     154,     161,     180,     196,     202,      79,      75,      76,      85,      85,      95,      85,     111,      82,     120
196804,     298,     366,     154,     161,     180,     196,     202,      79,      75,      76,      85,      85,      95,      85,     111,      82,     120
196805,     298,     365,     154,     161,     179,     196,     202,      79,      75,      76,      85,      84,      95,      85,     111,      82,     120
196806,     298,     365,     154,     161,     179,     195,     202,      79,      75,      76,      85,      84,      95,      84,     111,      82,     120
196807,     211,     381,     190,     192,     231,     233,     255,      89,     101,     102,      90,     117,     114,     115,     118,     112,     143
196808,     209,     381,     189,     191,     231,     233,     255,      89,     100,     102,      89,     117,     114,     115,     118,     112,     143
196809,     209,     380,     189,     191,     231,     233,     255,      89,     100,     102,      89,     117,     114,     115,     118,     112,     143
196810,     209,     380,     189,     191,     231,     232,     255,      89,     100,     102,      89,     117,     114,     114,     118,     112,     143
196811,     209,     380,     189,     191,     231,     232,     255,      89,     100,     102,      89,     117,     114,     114,     118,     112,     143
196812,     208,     380,     189,     191,     231,     232,     255,      89,     100,     102,      89,     117,     114,     114,     118,     112,     143
196901,     207,     380,     189,     190,     231,     232,     255,      89,     100,     102,      88,     117,     114,     114,     118,     112,     143
196902,     207,     380,     188,     190,     231,     231,     255,      88,     100,     102,      88,     117,     114,     113,     118,     112,     143
196903,     207,     380,     188,     190,     231,     231,     255,      88,     100,     102,      88,     117,     114,     113,     118,     112,     143
196904,     206,     380,     188,     190,     231,     231,     255,      88,     100,     102,      88,     117,     114,     113,     118,     112,     143
196905,     206,     380,     188,     190,     231,     231,     255,      88,     100,     102,      88,     117,     114,     113,     118,     112,     143
196906,     206,     379,     188,     190,     231,     231,     254,      88,     100,     102,      88,     117,     114,     113,     118,     112,     142
196907,     163,     313,     231,     237,     252,     281,     365,     112,     119,     120,     117,     121,     131,     134,     147,     159,     206
196908,     163,     312,     231,     237,     252,     281,     365,     112,     119,     120,     117,     121,     131,     134,     147,     159,     206
196909,     163,     311,     230,     237,     252,     280,     365,     112,     118,     120,     117,     121,     131,     133,     147,     159,     206
196910,     163,     311,     230,     237,     252,     280,     365,     112,     118,     120,     117,     121,     131,     133,     147,     159,     206
196911,     163,     311,     230,     237,     252,     280,     365,     112,     118,     120,     117,     121,     131,     133,     147,     159,     206
196912,     163,     311,     230,     237,     252,     280,     365,     112,     118,     120,     117,     121,     131,     133,     147,     159,     206
197001,     163,     311,     230,     237,     252,     280,     365,     112,     118,     120,     117,     121,     131,     133,     147,     159,     206
197002,     163,     311,     230,     237,     251,     280,     365,     112,     118,     120,     117,     120,     131,     133,     147,     159,     206
197003,     163,     311,     230,     237,     251,     280,     365,     112,     118,     120,     117,     120,     131,     133,     147,     159,     206
197004,     163,     311,     230,     237,     251,     279,     364,     112,     118,     120,     117,     120,     131,     133,     146,     159,     205
197005,     163,     310,     230,     236,     250,     279,     364,     112,     118,     119,     117,     120,     130,     133,     146,     159,     205
197006,     162,     309,     230,     236,     249,     278,     363,     112,     118,     119,     117,     119,     130,     133,     145,     159,     204
197007,     208,     283,     247,     275,     265,     300,     390,     114,     133,     136,     139,     133,     132,     137,     163,     158,     232
197008,     208,     283,     247,     274,     264,     300,     387,     114,     133,     136,     138,     133,     131,     137,     163,     157,     230
197009,     208,     282,     247,     273,     263,     300,     386,     114,     133,     136,     137,     133,     130,     137,     163,     156,     230
197010,     208,     282,     247,     273,     262,     299,     386,     114,     133,     136,     137,     132,     130,     137,     162,     156,     230
197011,     207,     281,     247,     272,     262,     299,     386,     114,     133,     136,     136,     132,     130,     137,     162,     156,     230
197012,     207,     281,     244,     272,     262,     299,     385,     112,     132,     136,     136,     132,     130,     137,     162,     156,     229
197101,     207,     279,     243,     269,     262,     299,     385,     111,     132,     134,     135,     132,     130,     137,     162,     156,     229
197102,     207,     277,     242,     268,     261,     299,     384,     110,     132,     133,     135,     131,     130,     137,     162,     156,     228
197103,     207,     277,     241,     268,     261,     298,     382,     109,     132,     133,     135,     131,     130,     136,     162,     155,     227
197104,     207,     275,     240,     268,     261,     297,     382,     109,     131,     133,     135,     131,     130,     135,     162,     155,     227
197105,     205,     273,     240,     267,     260,     297,     382,     109,     131,     132,     135,     131,     129,     135,     162,     155,     227
197106,     205,     272,     239,     266,     259,     296,     381,     109,     130,     132,     134,     130,     129,     135,     161,     155,     226
197107,     369,     411,     220,     246,     249,     243,     302,     101,     119,     117,     129,     124,     125,     125,     118,     118,     184
197108,     368,     410,     220,     246,     249,     243,     301,     101,     119,     117,     129,     124,     125,     125,     118,     117,     184
197109,     366,     410,     220,     246,     249,     243,     301,     101,     119,     117,     129,     124,     125,     125,     118,     117,     184
197110,     366,     410,     219,     246,     249,     243,     301,     101,     118,     117,     129,     124,     125,     125,     118,     117,     184
197111,     366,     410,     219,     246,     249,     243,     301,     101,     118,     117,     129,     124,     125,     125,     118,     117,     184
197112,     366,     408,     219,     245,     249,     243,     301,     101,     118,     117,     128,     124,     125,     125,     118,     117,     184
197201,     365,     407,     218,     245,     249,     243,     301,     101,     117,     117,     128,     124,     125,     125,     118,     117,     184
197202,     365,     406,     217,     245,     248,     243,     300,     100,     117,     117,     128,     123,     125,     125,     118,     117,     183
197203,     365,     405,     217,     245,     248,     243,     300,     100,     117,     117,     128,     123,     125,     125,     118,     117,     183
197204,     365,     405,     217,     244,     248,     243,     300,     100,     117,     117,     127,     123,     125,     125,     118,     117,     183
197205,     365,     403,     216,     243,     248,     243,     300,      99,     117,     116,     127,     123,     125,     125,     118,     117,     183
197206,     364,     403,     216,     243,     248,     243,     300,      99,     117,     116,     127,     123,     125,     125,     118,     117,     183
197207,     311,     487,     241,     265,     258,     274,     298,     115,     126,     132,     133,     137,     121,     146,     128,     127,     171
197208,     311,     485,     240,     265,     258,     274,     298,     115,     125,     132,     133,     137,     121,     146,     128,     127,     171
