This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197110,   -4.70,   -3.59,   -4.01,   -3.56,   -4.78,   -4.28,   -2.44,   -3.23,   -5.10,   -4.88,   -3.24,   -4.62,   -4.93,   -4.30,   -4.25,   -0.43,   -4.40
197111,    0.06,   -1.68,    0.60,    1.04,   -0.18,   -1.35,   -0.97,    1.24,   -0.32,   -0.50,    1.40,   -0.03,   -0.30,   -1.04,   -1.95,   -1.56,   -0.36
197112,    9.81,    8.55,    7.61,    9.39,    9.84,    9.61,   10.38,    8.44,    6.41,   10.08,    9.23,    9.79,    9.89,    9.11,   10.59,    9.33,   11.43
197201,    2.56,    4.64,    1.43,    3.06,    2.73,    2.11,    3.79,    1.20,    1.78,    1.69,    3.37,    3.31,    2.23,    1.77,    2.77,    2.27,    5.28
197202,    1.83,    2.36,    3.80,    3.48,    5.11,    2.29,    2.10,    4.35,    2.99,    3.25,    3.53,    4.64,    5.52,    2.32,    2.24,    0.13,    3.97
197203,   -0.89,    0.60,    2.46,    3.26,   -0.57,   -1.62,   -1.31,    1.42,    4.01,    1.32,    3.70,    1.10,   -2.01,   -1.77,   -1.33,   -0.89,   -1.69
197204,    1.35,   -0.74,    0.01,    0.78,    1.44,    1.18,    0.23,    0.64,   -0.92,    0.03,    0.95,    1.65,    1.25,    0.72,    2.05,   -1.45,    1.77
197205,    0.72,    0.49,    1.30,    2.88,    1.65,    1.89,    1.39,    1.95,    0.35,    1.64,    3.15,    1.15,    2.09,    2.65,    0.46,    0.58,    2.12
197206,   -1.99,   -4.40,   -1.50,   -1.41,   -2.28,   -2.31,   -2.92,   -0.75,   -2.62,   -0.98,   -1.51,   -0.86,   -3.54,   -2.00,   -2.91,   -3.47,   -2.43
197207,   -1.90,   -2.46,    0.81,    0.67,    0.58,   -1.76,   -2.68,   -0.04,    2.30,    0.90,    0.22,    1.61,   -1.77,   -0.27,   -3.31,   -1.38,   -4.71
197208,    5.78,    4.87,    3.36,    3.67,    3.78,    2.64,    2.39,    3.72,    2.76,    3.56,    3.88,    3.42,    4.63,    1.16,    4.22,    2.95,    1.48
197209,   -1.22,   -1.35,    1.15,   -0.49,   -1.37,   -1.96,   -1.82,    2.48,   -1.13,    0.15,   -1.72,   -1.05,   -2.11,   -2.05,   -1.88,   -1.49,   -2.36
197210,    1.16,    2.02,    1.06,    1.61,   -1.20,    1.73,    1.04,    0.57,    1.95,    1.46,    1.89,   -1.95,    0.55,    1.40,    2.07,    2.39,   -1.18
197211,    6.51,    6.56,    4.97,    3.24,    4.07,    5.87,    6.92,    6.11,    2.96,    3.60,    2.52,    3.52,    5.31,    5.78,    5.97,    8.19,    4.76
197212,   -0.85,   -1.07,    2.39,    1.70,    2.30,   -0.65,   -0.28,    2.14,    2.82,    1.72,    1.67,    2.38,    2.13,   -0.43,   -0.87,    0.00,   -0.79
197301,   -0.68,   -1.56,   -3.29,   -2.13,    0.99,   -5.35,   -6.41,   -3.35,   -3.19,   -0.96,   -4.42,    3.53,   -4.71,   -4.68,   -6.04,   -6.55,   -6.17
197302,   -5.63,   -6.18,   -2.85,   -3.50,   -3.55,   -5.50,   -5.58,   -3.14,   -2.34,   -4.37,   -1.72,   -2.59,   -5.87,   -3.99,   -7.07,   -4.78,   -6.98
197303,   -0.95,    1.52,   -0.42,   -0.28,    0.43,   -2.08,   -2.70,   -0.20,   -0.81,   -0.44,    0.04,    0.77,   -0.43,   -1.32,   -2.90,   -2.68,   -2.74
197304,   -3.39,   -2.36,   -3.00,   -4.46,   -5.10,   -7.19,   -7.03,   -2.12,   -4.56,   -4.50,   -4.40,   -5.04,   -5.25,   -6.53,   -7.92,   -6.43,   -8.11
197305,   -6.12,   -5.84,   -1.61,    0.32,   -1.55,   -1.51,   -4.17,   -1.55,   -1.72,    0.04,    0.88,   -1.39,   -1.98,   -1.15,   -1.92,   -2.14,   -7.88
197306,   -1.03,   -1.91,   -0.15,   -0.73,    0.03,   -2.12,   -3.12,    0.03,   -0.49,    0.02,   -2.19,    0.44,   -1.01,   -1.90,   -2.37,   -2.21,   -4.88
197307,    4.71,    3.42,    3.78,    6.43,    4.40,   10.05,    7.57,    2.72,    5.22,    6.28,    6.56,    2.86,    8.86,    9.97,   10.12,    4.68,   10.93
197308,   -2.16,   -3.05,   -2.75,   -3.64,   -3.42,   -3.28,   -2.89,   -3.22,   -2.12,   -2.95,   -4.25,   -3.11,   -4.28,   -3.58,   -2.96,   -2.85,   -2.94
197309,    7.78,    7.11,    5.83,    4.50,    2.36,    6.25,    9.01,    4.40,    7.71,    5.12,    3.96,    0.78,    6.71,    6.64,    5.85,    7.57,   10.59
197310,   -1.95,    0.12,    0.05,    0.23,    1.16,    0.02,   -3.33,    0.66,   -0.73,    0.16,    0.30,    1.63,   -0.07,   -0.30,    0.36,   -2.41,   -4.32
197311,  -15.46,  -12.47,   -9.91,  -12.87,   -9.16,  -16.48,  -14.96,   -9.75,  -10.13,  -11.74,  -13.90,   -8.12,  -11.90,  -16.29,  -16.68,  -13.54,  -16.51
197312,    1.91,    4.42,    2.73,   -0.55,    1.05,    0.82,    0.48,    4.11,    0.95,   -0.60,   -0.51,    1.46,   -0.09,   -0.94,    2.69,    0.47,    0.50
197401,    4.24,    1.97,   -2.68,    0.20,   -0.91,    1.17,    3.43,   -3.19,   -2.00,   -1.22,    1.52,   -1.64,    1.16,    3.58,   -1.29,    3.00,    3.92
197402,    0.41,    0.33,   -1.75,   -0.16,    1.50,    0.08,    0.33,   -1.57,   -2.00,   -0.01,   -0.29,    1.71,    0.92,   -0.65,    0.86,    1.19,   -0.63
197403,   -1.72,   -2.30,   -2.15,   -1.75,   -2.28,   -2.30,   -3.83,   -2.02,   -2.31,   -2.97,   -0.64,   -2.53,   -1.59,   -1.46,   -3.19,   -2.98,   -4.78
197404,   -2.82,   -5.18,   -5.21,   -2.53,   -3.68,   -4.57,   -9.34,   -4.97,   -5.54,   -3.26,   -1.90,   -3.94,   -2.97,   -3.65,   -5.56,  -11.11,   -7.29
197405,   -3.55,   -4.72,   -4.07,   -1.38,   -3.90,   -2.64,   -7.78,   -4.53,   -3.45,   -2.44,   -0.46,   -2.71,   -7.10,   -1.19,   -4.22,   -7.32,   -8.29
197406,   -1.90,   -1.97,   -2.20,   -0.21,   -1.48,   -4.08,   -5.33,   -2.99,   -1.17,    0.57,   -0.86,   -0.72,   -3.62,   -3.37,   -4.89,   -6.49,   -4.03
197407,   -5.48,   -2.82,   -9.96,   -9.09,   -8.18,   -8.74,   -5.77,  -10.00,   -9.92,  -10.09,   -7.79,   -7.70,   -9.09,   -9.48,   -7.75,   -6.30,   -5.02
