This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196812,   -4.56,   -2.84,   -3.05,   -1.98,   -1.18,   -4.71,   -4.22,   -2.46,   -3.32,   -2.65,   -3.64,   -2.57,   -1.38,   -2.84,    0.23
196901,   -0.81,    0.16,   -0.37,   -1.34,   -2.13,   -0.87,   -0.66,    0.34,   -0.05,   -0.18,   -0.54,   -1.22,   -1.45,   -2.75,   -1.59
196902,   -3.03,   -5.32,   -7.16,   -8.09,  -11.58,   -2.71,   -3.68,   -5.01,   -5.88,   -6.55,   -7.96,   -6.92,   -9.62,  -10.92,  -12.16
196903,    3.13,    3.89,    2.71,    2.82,    2.49,    2.36,    4.23,    4.66,    2.95,    3.19,    1.89,    3.07,    2.54,    1.94,    3.08
196904,    2.69,    1.12,    1.27,    1.38,    2.04,    2.49,    2.89,    1.33,    0.92,    1.72,    0.59,    2.02,    0.91,    2.41,    1.70
196905,    0.54,    0.65,   -0.02,    0.43,   -0.44,    0.33,    0.93,    0.71,    0.56,    0.74,   -0.79,    1.62,   -1.42,   -1.53,    0.57
196906,   -3.90,   -6.60,   -7.49,  -10.88,  -14.32,   -3.18,   -5.59,   -5.98,   -7.70,   -8.03,   -6.75,   -9.21,  -12.32,  -12.16,  -16.26
196907,   -5.29,   -5.68,   -6.91,   -8.96,  -11.34,   -5.04,   -6.04,   -4.79,   -6.73,   -7.68,   -5.99,   -8.62,   -9.37,  -10.82,  -11.74
196908,    3.54,    5.79,    5.73,    8.28,    8.19,    2.78,    4.65,    5.81,    5.77,    4.92,    6.42,    6.53,   10.07,    7.16,    9.17
196909,   -2.45,   -0.73,   -2.64,   -3.39,   -3.39,   -2.87,   -1.85,   -0.99,   -0.43,   -2.80,   -2.35,   -2.27,   -4.73,   -2.44,   -4.29
196910,    4.65,    6.42,    4.88,    7.46,    7.99,    4.54,    4.72,    6.99,    5.78,    5.12,    4.43,    6.31,    9.24,    7.17,    8.79
196911,   -2.68,   -2.84,   -3.66,   -4.27,   -6.19,   -2.28,   -3.76,   -3.82,   -1.91,   -3.10,   -4.36,   -4.54,   -4.04,   -5.41,   -6.93
196912,   -0.70,   -2.32,   -1.78,   -3.84,   -7.08,   -1.41,    0.48,   -2.28,   -2.36,   -2.05,   -1.38,   -4.29,   -3.37,   -6.08,   -7.96
197001,   -6.17,   -7.50,   -8.02,  -11.46,  -10.62,   -5.66,   -6.87,   -7.70,   -7.21,   -7.60,   -8.45,  -11.97,  -10.73,  -10.73,  -10.53
197002,    5.58,    5.99,    6.36,    8.16,    1.65,    6.43,    4.47,    5.22,    6.97,    6.20,    6.61,    7.99,    8.42,    2.66,    0.73
197003,    0.71,   -0.15,   -0.39,   -2.58,   -5.37,    1.57,   -0.18,   -0.61,    0.52,   -0.09,   -0.95,   -1.66,   -3.69,   -4.44,   -6.33
197004,   -8.47,   -8.07,  -12.39,  -13.84,  -20.34,   -7.65,   -9.43,   -7.64,   -8.61,  -11.19,  -14.04,  -12.44,  -15.77,  -18.47,  -22.13
197005,   -5.51,   -5.76,   -6.26,   -7.99,  -12.19,   -5.98,   -5.10,   -4.68,   -7.46,   -6.49,   -6.01,   -6.11,  -10.37,  -11.16,  -13.32
197006,   -3.59,   -3.71,   -6.30,   -9.81,  -12.09,   -4.63,   -2.16,   -3.84,   -3.41,   -6.19,   -6.51,   -8.25,  -12.45,  -12.25,  -11.92
197007,    9.12,    4.82,    9.44,    8.19,    4.48,    9.77,    8.47,    4.37,    5.71,   11.29,    6.94,    6.77,    9.87,    4.79,    4.16
197008,    4.50,    4.16,    5.10,    7.39,   10.01,    3.99,    4.95,    4.69,    3.39,    4.98,    5.29,    7.55,    7.16,   10.46,    9.38
197009,    1.11,    4.67,    6.74,    9.87,   17.73,    1.05,    1.24,    4.86,    4.38,    6.72,    6.76,    9.43,   10.33,   14.94,   20.82
197010,   -0.62,   -0.56,   -1.81,   -5.76,  -10.41,   -1.57,    0.73,   -0.35,   -0.86,   -0.86,   -3.24,   -4.41,   -7.16,   -9.04,  -12.00
197011,    6.25,    4.71,    4.16,    4.91,   -0.08,    6.15,    6.36,    4.72,    4.70,    3.91,    4.57,    5.19,    4.51,    2.05,   -2.46
197012,    5.68,    6.61,    6.20,    8.89,    5.27,    6.36,    5.03,    6.19,    7.20,    6.34,    5.98,    7.89,   10.30,    7.79,    2.90
197101,    3.30,    5.06,    8.00,   10.48,   13.76,    2.89,    4.48,    5.19,    4.93,    7.26,    8.99,    9.07,   12.55,   12.35,   15.35
197102,    1.01,    2.09,    2.87,    3.29,    3.66,    0.62,    1.90,    2.09,    2.08,    3.25,    2.43,    3.94,    2.38,    3.04,    4.36
197103,    4.08,    3.85,    4.93,    6.58,    6.24,    4.05,    4.18,    2.94,    5.05,    4.51,    5.46,    6.17,    7.08,    6.91,    5.46
197104,    2.58,    3.71,    5.32,    4.77,    3.33,    2.35,    3.33,    4.15,    2.97,    5.52,    5.08,    5.09,    4.28,    3.17,    3.47
197105,   -4.16,   -2.45,   -2.90,   -3.85,   -5.68,   -4.35,   -3.71,   -3.16,   -1.73,   -2.88,   -2.92,   -3.32,   -4.74,   -4.94,   -6.41
197106,    0.72,    0.84,    0.49,   -0.77,   -4.32,    0.03,    2.20,    1.25,    0.40,    1.75,   -0.99,   -0.34,   -1.25,   -4.68,   -3.90
197107,   -2.87,   -3.88,   -4.42,   -6.45,   -9.94,   -2.45,   -3.68,   -4.53,   -3.14,   -4.64,   -4.14,   -6.89,   -5.77,   -9.79,  -10.08
197108,    3.81,    3.26,    5.12,    7.01,    6.24,    3.52,    4.20,    2.20,    4.37,    4.48,    5.70,    6.52,    7.82,    6.86,    5.78
197109,    0.17,   -0.45,   -1.08,   -1.60,   -1.41,    0.41,   -0.21,   -0.31,   -0.66,   -0.79,   -1.59,   -1.30,   -1.97,   -2.02,   -0.71
197110,   -1.99,   -3.88,   -5.73,   -7.19,   -7.63,   -1.27,   -3.20,   -3.29,   -4.86,   -5.43,   -6.37,   -7.27,   -7.10,   -6.09,   -9.52
197111,    0.42,    0.42,   -0.19,   -2.07,   -3.09,    0.27,    0.62,    0.92,   -0.27,   -0.09,   -0.40,   -2.79,   -1.04,   -1.62,   -4.64
197112,    8.24,    8.69,    9.32,   11.49,   13.11,    6.99,    9.88,    8.81,    8.45,    8.45,   10.40,   11.26,   11.86,   13.42,   12.79
197201,    0.98,    2.05,    4.68,    4.98,   10.42,    1.10,    0.81,    2.14,    1.79,    3.24,    7.03,    4.28,    6.08,    8.25,   13.15
197202,    2.28,    3.25,    4.10,    4.67,    3.92,    1.18,    3.62,    3.08,    3.65,    4.04,    4.17,    3.60,    5.85,    3.64,    4.27
197203,    1.39,    1.15,    0.17,   -0.38,   -0.84,    1.57,    1.18,    1.17,    1.13,   -0.75,    1.44,   -0.14,   -0.68,   -1.34,   -0.19
197204,   -0.15,    1.89,    0.89,    1.67,   -0.97,   -0.15,   -0.16,    1.84,    1.94,    0.86,    0.94,    0.61,    2.75,   -0.67,   -1.28
197205,    2.14,    1.84,    1.06,    0.28,   -0.66,    1.97,    2.43,    2.09,    1.58,    1.57,    0.17,   -0.35,    0.92,    0.24,   -1.52
197206,   -1.69,   -1.23,   -2.89,   -5.19,   -3.41,   -1.52,   -2.05,   -0.80,   -1.69,   -2.20,   -3.91,   -5.71,   -4.42,   -4.78,   -2.20
