This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and
administrative expenses, minus interest expense) divided by book equity
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
  1997,   15.02,   33.09,   30.18,   10.95,   33.99,   33.38,   35.54,   26.01,    5.47,   26.16,   34.57,   33.23,   32.99,   33.83,   32.27,   39.05,   28.86,   23.41
  1998,   -3.53,   -2.73,   -0.85,   -3.44,   -2.63,   -2.87,   -2.61,   -0.86,   -3.98,   -2.27,   -3.89,   -1.31,   -1.67,   -4.06,   -4.24,   -0.89,   -2.50,    0.65
  1999,   51.66,   10.24,   15.74,   60.38,   13.52,    7.68,   14.11,   16.11,   78.75,   20.53,   14.94,   12.09,    9.34,    5.94,   13.21,   14.98,   17.13,   14.91
  2000,  -19.08,    8.94,    3.77,  -23.89,    5.64,    9.31,    9.09,    1.86,  -31.34,   -1.82,    5.02,    6.28,    7.62,   11.11,   11.40,    6.64,    3.62,   -1.08
  2001,   25.99,   28.17,   24.07,   23.99,   32.98,   25.34,   28.61,   22.05,   18.43,   36.60,   33.59,   32.14,   26.14,   24.44,   29.50,   27.70,   18.10,   27.52
  2002,  -21.01,   -0.12,   -6.60,  -24.22,   -2.24,    0.20,   -1.95,   -8.70,  -30.02,   -8.40,   -4.42,   -0.02,   -0.69,    1.21,   -1.18,   -2.81,   -8.67,   -8.77
  2003,  100.67,   50.04,   49.91,  111.41,   59.35,   47.09,   49.36,   48.13,  128.74,   67.66,   59.90,   58.72,   46.26,   47.78,   45.99,   53.14,   42.70,   53.76
  2004,   20.14,   22.64,   25.11,   19.18,   22.94,   22.61,   24.50,   24.66,   16.39,   26.40,   23.89,   22.03,   22.66,   22.53,   23.36,   25.76,   25.25,   23.65
  2005,    0.02,    9.40,    8.89,   -1.32,    6.89,    9.51,   10.15,    7.94,   -4.48,    8.07,    5.07,    8.97,   11.39,    7.61,    9.80,   10.51,    7.89,    8.00
  2006,   14.90,   18.30,   19.24,   13.46,   20.29,   18.59,   17.83,   19.11,   12.05,   17.36,   20.90,   19.61,   18.66,   18.46,   16.33,   19.46,   17.17,   20.93
  2007,   -9.40,   -4.48,   -1.76,  -10.57,   -4.03,   -4.57,   -4.72,    0.06,  -12.52,   -4.30,   -3.99,   -3.97,   -3.27,   -5.87,   -4.94,   -4.44,    1.77,   -1.94
  2008,  -49.99,  -36.74,  -41.04,  -52.32,  -38.65,  -35.15,  -37.92,  -42.59,  -55.24,  -44.67,  -38.60,  -38.75,  -33.41,  -37.02,  -37.80,  -38.07,  -41.55,  -43.67
  2009,   77.68,   41.66,   66.46,   85.60,   44.31,   39.51,   52.60,   70.59,  105.95,   50.03,   46.57,   41.79,   38.66,   40.28,   47.00,   59.07,   67.46,   73.24
  2010,   30.28,   24.41,   26.45,   30.40,   28.29,   25.48,   23.75,   25.17,   27.34,   34.91,   29.46,   26.65,   25.02,   25.94,   18.79,   28.68,   22.50,   28.11
  2011,  -13.84,   -2.95,   -5.32,  -16.10,   -3.89,   -3.10,   -2.41,   -6.71,  -20.75,   -6.95,   -4.07,   -3.73,   -3.75,   -2.56,   -1.74,   -3.18,   -5.27,   -8.08
  2012,   19.05,   19.89,   17.03,   18.27,   21.11,   19.61,   20.01,   15.24,   17.37,   20.13,   21.72,   20.45,   19.23,   20.03,   19.89,   19.92,   17.60,   13.00
  2013,   45.40,   40.66,   45.73,   46.70,   39.36,   39.59,   44.37,   48.09,   48.75,   42.81,   40.55,   38.08,   39.12,   40.17,   46.83,   41.92,   44.74,   51.36
  2014,    1.25,    6.93,    6.71,    0.31,    6.10,    5.36,    8.45,    6.31,   -2.31,    4.77,    4.33,    7.95,    6.11,    4.63,    9.39,    7.53,   11.70,    1.33
